#k dell/k err_(dell/k)
0.1 0.294207682552021 0.23947942696747707
0.2 0.314497681891344 0.47895885393495413
0.3 0.239697491552907 0.7184382809024313
0.4 0.306565299524184 0.9579177078699083
0.5 0.208980680256583 1.1973971348373853
0.6 0.264580077068967 1.4368765618048627
0.7 0.179137860579604 1.6763559887723394
0.8 0.244703817479432 1.9158354157398165
0.9 0.368083568243717 2.155314842707294
0.10 0.152552591047840 2.3947942696747706
0.11 0.298406033333989 2.6342736966422473
0.12 0.293902677570547 2.8737531236097253
0.13 0.123306309042788 3.113232550577202
0.14 0.289108679317305 3.3527119775446788
0.15 0.264786030691509 3.5921914045121563
0.16 0.333944873050295 3.831670831479633
0.17 0.203948711027343 4.07115025844711
0.18 0.187082192514700 4.310629685414588
0.19 0.367872226433428 4.550109112382065
0.20 0.151966184510548 4.789588539349541
